player_id,player,position,ht_inches,weight,bmi,current_team,birth_date,birth_place,death_date,life_span_yrs,college,high_school,draft_team,draft_round,draft_position,draft_year,current_salary,induct.year,from,to,1st.team.ap,pro_bowl,years.starter,career.avg.value,games,completions,pass.att,pass.yds,pass.td,longest.pass,int,times.sacked,sack.yds.lost,rush.att,rush.yds,rush.td,longest.rush,receptions,rec.yds,rec.tds,longest.rec
11470,Charlie Joiner,WR,71,188,26.275502948654267,NA,1947-10-14,"Many, LA",NA,NA,Grambling St.,"William Oscar Boston, LA",Houston Oilers,4,93,1969,NA,1996,1969,1986,1,3,16,91,239,0,1,0,0,0,0,0,0,8,22,0,9,750,12146,65,87
11725,Walter Jones,T,77,315,37.431651551078126,NA,1974-01-19,"Aliceville, AL",NA,NA,Florida St.,"Aliceville, AL",Seattle Seahawks,1,6,1997,NA,2014,1997,2008,4,9,11,97,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10351,Cal Hubbard,T,74,253,32.551197315689,NA,1900-10-31,"Keytesville, MO",1977-10-17,77.013698630137,Centenary,"Keytesville, MO",NA,NA,NA,NA,NA,1963,1927,1936,4,0,6,0,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0
23914,Dave Wilcox,LB,75,241,30.185918957696497,NA,1942-09-29,"Ontario, OR",NA,NA,Boise St.,"Vale Union, OR",San Francisco 49ers,3,29,1964,NA,2000,1964,1974,2,7,11,73,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18714,Jim Ringo,C,73,232,30.672710145297458,NA,1931-11-21,"Orange, NJ",2007-11-19,76.0465753424658,Syracuse,"Phillipsburg, NJ",Green Bay Packers,7,80,1953,NA,1981,1953,1967,6,10,14,78,187,NA,NA,NA,NA,NA,NA,NA,NA,0,13,0,13,NA,NA,NA,NA
19925,Lee Roy Selmon,DE,75,256,32.064710594067655,NA,1954-10-20,"Eufaula, OK",2011-09-04,56.9123287671233,Oklahoma,"Eufaula, OK",Tampa Bay Buccaneers,1,1,1976,NA,1995,1976,1984,1,6,9,73,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18843,Dave Robinson,LB,75,245,30.68693006072881,NA,1941-05-03,"Mount Holly, NJ",NA,NA,Penn St.,"Moorestown, NJ",Green Bay Packers,1,14,1963,NA,2013,1963,1974,1,3,10,81,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11819,Sonny Jurgensen,QB,71,202,28.23218933844767,NA,1934-08-23,"Wilmington, NC",NA,NA,Duke,"New Hanover, NC",Philadelphia Eagles,4,43,1957,NA,1983,1957,1974,2,5,10,107,218,2433,4262,32224,255,99,189,94,748,181,493,15,33,1,-3,0,0
22043,Emmitt Thomas,DB,74,192,24.70288491941616,NA,1943-06-03,"Angleton, TX",NA,NA,Bishop,"Marshall, TX",NA,NA,NA,NA,NA,2008,1966,1978,1,5,11,70,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7134,Len Ford,DE,76,245,29.884692103808785,NA,1926-02-18,"Washington, DC",1972-03-14,46.0986301369863,Morgan St.,"Armstrong, DC",NA,NA,NA,NA,NA,1976,1948,1958,4,4,11,0,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,1175,8,0
12895,Steve Largent,WR,71,187,26.135739635097597,NA,1954-09-28,"Tulsa, OK",NA,NA,Tulsa,"Putnam City, OK",Houston Oilers,4,117,1976,NA,1995,1976,1989,1,7,14,103,200,2,7,29,0,18,0,0,0,17,83,1,21,819,13089,100,74
20332,O.J. Simpson,RB,74,212,27.27610209852201,NA,1947-07-09,"San Francisco, CA",NA,NA,USC,"Galileo, CA",Buffalo Bills,1,1,1969,NA,1985,1969,1979,5,6,11,98,135,6,16,110,1,34,0,1,11,2404,11236,61,94,203,2142,14,64
13812,John Mackey,TE,74,224,28.82003240598552,NA,1941-09-24,"Queens, NY",2011-07-06,69.827397260274,Syracuse,"Hempstead, NY",Baltimore Colts,2,19,1963,NA,1992,1963,1972,3,5,8,58,139,NA,NA,NA,NA,NA,NA,NA,NA,19,127,0,33,331,5236,38,89
5690,Mike Ditka,TE,75,228,28.557632872841502,NA,1939-10-18,"Carnegie, PA",NA,NA,Pittsburgh,"Aliquippa, PA",Chicago Bears,1,5,1961,NA,1988,1961,1972,2,5,8,56,158,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,11,427,5812,43,76
13678,Sid Luckman,QB,72,197,26.77386808196736,NA,1916-11-21,"Brooklyn, NY",1998-07-05,81.6739726027397,Columbia,"Erasmus Hall, NY",Chicago Bears,1,2,1939,NA,1965,1939,1950,5,3,10,0,128,904,1744,14686,137,86,132,NA,NA,204,-239,4,40,1,15,0,15
8920,Dan Hampton,DE,77,264,31.37128891899881,NA,1957-09-19,"Oklahoma City, OK",NA,NA,Arkansas,"Jacksonville, AR",Chicago Bears,1,4,1979,NA,2002,1979,1990,1,4,11,101,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
